parent_smiles,metabolite_smiles
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)N(c3ccc(Cl)c(C(F)(F)F)c3)[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)ccn1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1C[C@@H](O)C2=O
NC(=O)OCC(COC(N)=O)c1ccccc1,N=C(O)OCC(CO)c1ccccc1
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnnn2C2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
CC(O)/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CNCCOc1ccc(/C(=C(\c2ccccc2)C(C)O)c2ccccc2)cc1
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1O
COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)C3=C(C)N=CN(O)C3C)CC2)C[C@@H]1C
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Oc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,CC(O)C(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,C[C@]12CC[C@@H]3c4ccc(O)cc4[C@@H](O)C[C@H]3[C@@H]1CCC2=O
